city_name,psgc,year,annual_mean_nightlight,annual_max_nightlight,annual_std_nightlight
City of Roxas,601914000,2023,2.0369747899159663,22.0,2.553358820900818
City of Roxas,601914000,2024,2.0554621848739494,20.0,2.519560368447378
City of Sagay,604523000,2022,0.2826362484157161,9.0,0.7458988985094333
City of Sagay,604523000,2023,0.3282636248415716,9.0,0.7668510175387189
City of Sagay,604523000,2024,0.3669201520912547,9.0,0.8136015909260449
City of San Carlos,105532000,2022,1.1090458488228006,15.0,1.2186103189379487
City of San Carlos,105532000,2023,1.151177199504337,13.0,1.1672717752729167
City of San Carlos,105532000,2024,1.4237918215613383,15.0,1.4199251236982777
City of San Carlos,604524000,2022,0.2514231499051233,17.0,1.2861002884199775
City of San Carlos,604524000,2023,0.26992409867172673,18.0,1.3038064961635332
City of San Carlos,604524000,2024,0.29554079696394686,19.0,1.3167433814476084
City of San Fernando,103314000,2022,1.7545454545454546,24.0,2.8919523560653735
City of San Fernando,103314000,2023,1.9054545454545455,20.0,2.8791045439870038
City of San Fernando,103314000,2024,2.0545454545454547,19.0,3.1037700349336554
City of San Fernando,305416000,2022,10.273399014778326,35.0,6.556809852494766
City of San Fernando,305416000,2023,11.307881773399014,43.0,7.409971111130992
City of San Fernando,305416000,2024,11.990147783251231,40.0,7.624170889451464
City of San Jose Del Monte,301420000,2022,4.376039933444259,18.0,3.6262618952370107
City of San Jose Del Monte,301420000,2023,4.777038269550749,16.0,3.6397973851838255
City of San Jose Del Monte,301420000,2024,5.637271214642263,22.0,4.517837658969022
City of San Juan,1381400000,2022,37.19565217391305,45.0,4.866118733774478
City of San Juan,1381400000,2023,35.78260869565217,43.0,4.257540847046827
City of San Juan,1381400000,2024,37.67391304347826,44.0,4.398884976436281
City of San Pablo,403424000,2022,1.470705064548163,17.0,2.033211293070224
City of San Pablo,403424000,2023,1.579940417080437,19.0,2.163917058753609
City of San Pablo,403424000,2024,1.9215491559086395,24.0,2.720842059496966
City of San Pedro,403425000,2022,11.506578947368421,29.0,6.65601895252702
City of San Pedro,403425000,2023,12.539473684210526,30.0,6.668742463072117
City of San Pedro,403425000,2024,14.914473684210526,34.0,7.725508055978693
City of Santa Rosa,403428000,2022,14.782608695652174,41.0,7.3355220589905406
City of Santa Rosa,403428000,2023,15.9472049689441,41.0,7.890969460091677
City of Santa Rosa,403428000,2024,18.52173913043478,50.0,8.959943264933603
City of Santiago,203135000,2022,1.1786570743405276,17.0,2.0275027746237555
City of Santiago,203135000,2023,1.3621103117505995,20.0,2.2297967683443902
City of Santiago,203135000,2024,1.6930455635491606,21.0,2.601286267392799
City of Silay,604526000,2022,0.6265377855887522,11.0,1.3290979534397105
City of Silay,604526000,2023,0.7302284710017575,12.0,1.3277424252470813
City of Silay,604526000,2024,0.7311072056239016,14.0,1.4387674148103158
City of Sipalay,604527000,2022,0.118491921005386,11.0,0.6084083676739951
City of Sipalay,604527000,2023,0.17953321364452424,10.0,0.6454462481956033
City of Sipalay,604527000,2024,0.18731298623578696,10.0,0.7167196347904767
City of Sorsogon,506216000,2022,0.5571808510638298,12.0,1.2223218789678645
City of Sorsogon,506216000,2023,0.7267287234042553,15.0,1.430268699954167
City of Sorsogon,506216000,2024,0.7746010638297872,19.0,1.649989877595945
City of Sto. Tomas,401028000,2022,5.067864271457085,33.0,5.315156014889467
City of Sto. Tomas,401028000,2023,6.151696606786427,43.0,6.796216961354078
City of Sto. Tomas,401028000,2024,7.201596806387226,63.0,8.291668945231422
City of Surigao,1606724000,2022,0.1893491124260355,10.0,0.8174894038810486
City of Surigao,1606724000,2023,0.4798816568047337,16.0,1.4655443030963218
City of Surigao,1606724000,2024,0.5053254437869823,19.0,1.5389330183327485
City of Tabaco,500517000,2022,0.48493543758967,11.0,1.1846046275115574
