city_name,psgc,year,poi_count,large_water_m,small_water_m,building_area_m2,gray_zones_area_m2,green_zones_area_m2,poi_per_km2,large_water_m_per_km2,small_water_m_per_km2,building_coverage_ratio,gray_zones_coverage_ratio,green_zones_coverage_ratio
City of Baliwag,301403000,2023,27.0,33918.54869864743,58698.36605444703,415649.143848758,1459058.5482597563,147157.22261331647,0.5897515112629452,740.8709390693749,1282.127781084285,0.009078878175553865,0.031869703105826305,0.0032143034973874463
City of Baliwag,301403000,2024,29.0,31623.612966067176,68758.60090307711,524997.0143564156,2457678.386531773,140483.5131046736,0.6334368083935338,690.7434643826883,1501.8699553672382,0.011467325282415935,0.053682205283532965,0.0030685320059632972
City of Baliwag,301403000,2025,28.0,31623.612966940706,68754.54532651493,562755.7030252998,2642920.4836866474,228969.7321737936,0.6115941598282395,690.7434644017685,1501.781370833661,0.012292075049296733,0.05772838331118498,0.005001305391961725
City of Batac,102805000,2022,11.0,34518.30456017877,10091.147335155842,1458817.0428136475,51077.935610651184,6623.38007973236,0.06950921791597806,218.12185034214227,63.7661599219626,0.009218293793497865,0.0003227624870053681,4.1853269936587704e-05
City of Batac,102805000,2023,11.0,34506.298722233754,10699.07322675112,1443600.6349239694,51077.935610651184,6623.38007973236,0.06950921791597806,218.04598521432555,67.60765567429546,0.00912214101059768,0.0003227624870053681,4.1853269936587704e-05
City of Batac,102805000,2024,11.0,34506.10589776124,10699.07322675112,1444848.1344252806,121095.37326715812,175331.83831810902,0.06950921791597806,218.04476675266378,67.60765567429546,0.009130023984660108,0.0007652040626403271,0.0011079253597511337
City of Batac,102805000,2025,11.0,38137.58012970055,16411.353854536035,1458751.9583819497,121305.85079067454,178409.88405453356,0.06950921791597806,240.9921243657664,103.70367012465196,0.009217882523684608,0.0007665340742811014,0.001127375591737359
City of Bayawan,704606000,2022,6.0,373942.9734910872,26162.32274386148,141959.13981280007,5545167.388711962,10076.674218385147,0.008582585625866007,534.8995981963664,37.423395853455474,0.00020306274546960678,0.007931978987230037,1.4413986550541158e-05
City of Bayawan,704606000,2023,7.0,397061.3793457632,48177.3436326668,142849.79232951129,5558776.981147589,24165.03210734208,0.01001301656351034,567.9688811599128,68.91436282568887,0.0002043367623842013,0.007951446569298689,3.4566409535510776e-05
City of Bayawan,704606000,2024,9.0,369084.9472043539,48969.62826529157,198512.0577665761,5579664.281322289,29144.5558943109,0.01287387843879901,527.9505270999337,70.04767127561551,0.00028395778892474974,0.007981324409672443,4.168927441512685e-05
City of Bayawan,704606000,2025,8.0,386724.2976371525,53596.98825092766,373466.78615783126,5607996.964100228,29144.5558943109,0.011443447501154676,553.1823996789586,76.66679015868682,0.0005342184451027627,0.00802185235566447,4.168927441512685e-05
City of Baybay,803708000,2022,15.0,185189.0516676304,30506.66006870674,1480092.121847364,8434684.441895943,281876385.18069893,0.03969456822648436,490.06662974791277,80.72991329729638,0.003916774514143478,0.022320743803180308,0.7459307601993358
City of Baybay,803708000,2023,15.0,191196.40128357933,44338.35678486916,2352789.3912778017,9675656.314611243,286794190.90546143,0.03969456822648436,505.96390636062137,117.33279522981296,0.006226197267641686,0.025604733314423343,0.7589447718570812
City of Baybay,803708000,2024,14.0,191135.6733733581,54522.6954691449,2358963.367665589,9656319.146773474,286917670.9423622,0.037048263678052064,505.80320181558614,144.2836570127868,0.006242535489438601,0.025553561279220458,0.7592715376403723
City of Baybay,803708000,2025,13.0,191135.6733733581,54522.6954691449,2376533.116872092,9655916.309228344,286907871.6658077,0.034401959129619776,505.80320181558614,144.2836570127868,0.006289030396678584,0.0255524952483925,0.7592456057702548
City of Bayugan,1600301000,2022,11.0,291289.383075728,72457.04350703984,134149.3497512801,418443.76711113215,882886.3965686656,0.023057625052118592,610.5855796930069,151.88066741548803,0.0002811968552318668,0.0008771199534040471,0.0018506603177905795
City of Bayugan,1600301000,2023,10.0,294192.6411620778,71882.77385390818,194297.7665269586,494809.2382083532,882886.3965686656,0.02096147732010781,616.6712375461509,150.6769133845135,0.00040727682264024453,0.001037193262448422,0.0018506603177905795
City of Bayugan,1600301000,2024,9.0,296167.0687763233,71439.2120878738,238715.7942422951,642445.3781192575,1064866.5679678903,0.01886532958809703,620.8099295117711,149.74714239463387,0.0005003835706961391,0.0013466604222854904,0.0022321176413399976
City of Bayugan,1600301000,2025,9.0,293698.83697062585,86182.98922868469,265836.42447902326,717807.0894582658,6633703.740913839,0.01886532958809703,615.6361510101815,180.65227740961697,0.0005572324182575599,0.0015046297025892038,0.013905223051347977
City of Bislig,1606803000,2022,21.0,206161.7198012469,34155.6418163308,164026.20490505124,1289264.9521272895,1672894.3903139655,0.05062709015506703,497.01752261435206,82.34289321616936,0.0003954366411200727,0.0031081777602436408,0.004033036910396715
City of Bislig,1606803000,2023,15.0,206150.5518669785,34155.6418163308,182651.5792286649,1289264.9521272895,1672894.3903139655,0.0361622072536193,496.99059880411147,82.34289321616936,0.0004403389508845231,0.0031081777602436408,0.004033036910396715
